Analyzing learn-anything...                                     

   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:346:95 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:346:106 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:346:116 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:346:134 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:352:54 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:354:56 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:354:73 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:366:65 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:366:76 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:368:60 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:372:59 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:386:63 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:386:90 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:424:67 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:424:79 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:436:64 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:440:64 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:482:73 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:492:86 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:492:96 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:562:63 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:598:61 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:632:81 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:632:98 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:642:70 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:642:81 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:656:58 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:660:74 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:660:82 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_de.dart:14:63 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_de.dart:62:62 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_de.dart:64:47 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_de.dart:76:62 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_de.dart:76:75 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_de.dart:86:63 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_de.dart:96:61 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_de.dart:98:94 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_de.dart:104:81 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_de.dart:104:93 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_de.dart:104:109 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_de.dart:128:70 - unnecessary_brace_in_string_interps
